id,eps,aMax,perceivedSafety,bestEps,bestAMax,bestPerceivedSafety,participantID
0,0.68,0.96,1,0.1,0.1,6.027108522978334e-09,0
1,0.1,0.1,2,0.75,1.0,1.3125000072180368,0
2,0.75,1.0,1,0.75,1.0,1.1927094040782644,0
3,0.1,0.1,1,0.75,1.0,1.1375003608588763,1
4,0.75,1.0,1,0.75,1.0,1.1062500112230105,1
5,0.1,0.1,1,0.75,1.0,1.086309695921346,1
6,0.75,1.0,1,0.75,1.0,1.0725447365464336,2
7,0.1,0.1,1,0.75,1.0,1.0625004579204993,2
8,0.75,1.0,0,0.75,1.0,0.9375009011557018,2
9,0.1,0.1,1,0.75,1.0,0.9437500109696825,1
10,0.75,1.0,2,0.75,1.0,1.0440341114622456,1
11,0.1,0.1,-1,0.1,0.1,0.8655303081136729,1
12,0.75,1.0,1,0.1,0.1,0.8762019694577735,1
13,0.1,0.1,2,0.75,1.0,0.9598214710090458,1
14,0.75,1.0,1,0.1,0.1,0.962500129818489,1
15,0.1,0.1,1,0.75,1.0,0.9648440663168055,1
16,0.75,1.0,2,0.1,0.1,1.0275735241030157,1
