id,firstName,lastName,gender,height,email,sfOrder,evaluation
0,-,-,-,187,-,,
1,-,-,-,169,-,,
2,-,-,-,160,-,,
3,-,-,-,176,-,2|1|3|1|3|2,-1|-1|1|-1|1|-2
10,-,-,-,177,-,1|3|2|3|2|1,-2|2|-3|2|-3|-2
12,-,-,-,165,-,1|2|1|2|3|3,-2|-3|-2|-2|0|2
15,-,-,-,164,-,3|3|1|2|1|2,0|0|0|0|0|0
21,-,-,-,176,-,2|2|1|1|3|3,0|-1|0|-1|0|0
23,-,-,-,162,-,2|1|2|3|3|1,-2|-1|-2|0|-1|-1
24,-,-,-,178,-,3|2|2|3|1|1,
25,-,-,-,162,-,3|1|2|3|2|1,
26,-,-,-,162,-,2|1|3|2|3|1,
27,-,-,-,162,-,2|1|1|2|3|3,
28,-,-,-,162,-,3|3|2|1|1|2,
29,-,-,-,162,-,3|1|2|3|1|2,
30,-,-,-,162,-,1|1|3|2|3|2,
31,-,-,-,162,-,1|2|3|2|1|3,
32,-,-,-,162,-,1|2|2|1|3|3,
