id,firstName,lastName,gender,height,email,sfOrder,evaluation
0,-,-,Male,187,-,2|1|3|1|3|2,
1,-,-,Male,169,-,2|1|3|1|3|2,
2,-,-,Female,160,-,2|1|3|1|3|2,
3,-,-,Male,176,-,2|1|3|1|3|2,-1|-1|1|-1|1|-2
4,-,-,Male,184,-,3|2|2|3|1|1,-1|-3|-2|-1|-2|-1
5,-,,Female,174,-,3|1|2|3|2|1,3|2|2|3|1|3
6,-,-,Male,168,-,2|1|3|2|3|1,-1|-1|0|-1|1|-1
7,-,-,Male,175,-,2|1|1|2|3|3,-1|-1|0|0|0|0
8,-,-,Female,168,-,3|3|2|1|1|2,2|2|-2|-1|-1|-2
9,-,-,Female,165,-,3|1|2|3|1|2,-1|-2|-2|-1|-1|-1
10,-,-,Male,177,-,1|3|2|3|2|1,-2|2|-3|2|-3|-2
11,-,-,Male,178,-,1|1|3|2|3|2,
12,-,-,Male,165,-,1|2|1|2|3|3,-2|-3|-2|-2|0|2
13,-,-,Female,175,-,2|1|3|1|3|2,
14,-,-,Female,164,-,2|2|1|1|3|3,
15,-,-,Female,164,-,3|3|1|2|1|2,
16,-,-,Male,172,-,1|2|3|2|1|3,-2|-1|0|-1|-1|0
17,-,-,Female,162,-,1|2|2|1|3|3,-3|-2|-2|-1|1|0
18,-,-,Female,999,-,1|2|3|1|2|3,
