timestamp, x, y, z, yaw
1653309828.734401, 1.88, -0.96, 5.02, 0.025656340004316644
1653309828.832098, 2.01, -0.89, 6.26, 0.019896753472735354
1653309828.839926, 2.34, -0.81, 9.07, 0.014486232791552934
1653309828.926824, 2.48, -0.8, 10.08, 0.007504915783575617
1653309828.931477, 2.59, -0.77, 11.63, 0.016057029118347832
1653309828.946972, 2.93, -0.63, 15.53, 0.009250245035569947
1653309828.955747, 2.94, -0.57, 16.0, 0.009599310885968814
1653309828.963805, 3.0, -0.55, 16.5, 0.0066322511575784525
1653309828.971794, 3.03, -0.52, 16.96, 0.011868238913561441
1653309828.980351, 3.07, -0.53, 17.52, 0.008377580409572781
1653309828.997019, 3.15, -0.49, 18.53, 0.009075712110370514
1653309829.005254, 3.18, -0.47, 19.06, 0.007504915783575617
1653309829.013916, 3.22, -0.46, 19.6, 0.012566370614359171
1653309829.021709, 3.22, -0.44, 20.1, 0.009599310885968814
1653309829.030425, 3.29, -0.39, 20.64, 0.00471238898038469
1653309829.046981, 3.34, -0.34, 21.7, 0.010122909661567111
1653309829.139294, 3.38, -0.35, 22.25, 0.004886921905584123
1653309829.144241, 3.41, -0.35, 22.83, 0.010297442586766544
1653309829.241744, 3.69, -0.19, 27.81, 0.0029670597283903604
1653309829.249492, 3.88, -0.24, 32.24, 0.007155849933176751
1653309829.311562, 3.89, -0.22, 33.17, 0.0019198621771937625
1653309829.321669, 4.0, -0.3, 38.1, 0.11262941275677288
1653309829.330424, 4.02, -0.31, 38.75, 0.0010471975511965976
1653309829.346841, 4.06, -0.28, 40.02, 0.11332754445757061
1653309829.355390, 4.06, -0.3, 40.66, 0.1148983407843655
1653309829.363780, 4.08, -0.29, 41.31, 0.11420020908356777
1653309829.371729, 4.09, -0.28, 41.96, 0.11681820296155927
1653309829.380204, 4.07, -0.3, 42.61, 0.11734180173715758
1653309829.397392, 4.1, -0.31, 43.92, 0.11559647248516323
1653309829.405255, 4.1, -0.31, 44.55, 0.12013432854034849
1653309829.413796, 4.11, -0.29, 45.13, 0.12449765167033432
1653309829.446607, 4.11, -0.3, 45.77, 0.11420020908356777
1653309829.548770, 4.1, -0.32, 47.49, 0.1180399334379553
1653309829.553018, 4.1, -0.34, 48.03, 0.11838899928835417
1653309829.559887, 4.02, -0.5, 52.49, 0.11769086758755644
1653309829.651199, 4.03, -0.54, 52.82, 0.12187965779234283
1653309829.659975, 3.84, -0.76, 55.23, 0.12310138826873887
1653309829.753701, 3.83, -0.79, 55.43, 0.1253703162963315
1653309829.759921, 3.69, -0.89, 57.12, 0.11995979561514906
1653309829.856104, 3.58, -0.99, 57.97, 0.12502125044593262
1653309829.861068, 3.44, -1.03, 59.07, 0.12571938214673034
1653309829.950297, 3.24, -1.11, 59.75, 0.12816284309952242
1653309829.960152, 2.91, -1.25, 59.87, 0.1258939150719298
1653309829.971725, 2.79, -1.27, 59.63, 0.12449765167033432
1653309829.980163, 2.78, -1.31, 59.56, 0.12624298092232866
1653309829.997130, 2.7, -1.37, 59.34, 0.13147896867831163
1653309830.005703, 2.68, -1.37, 59.22, 0.12449765167033432
1653309830.013749, 2.61, -1.43, 59.12, 0.12519578337113205
1653309830.021826, 2.6, -1.4, 58.95, 0.12397405289473602
1653309830.030189, 2.54, -1.47, 58.81, 0.12571938214673034
1653309830.046947, 2.47, -1.48, 58.49, 0.1286864418751207
1653309830.055428, 2.44, -1.5, 58.3, 0.1260684479971292
1653309830.163275, 2.41, -1.49, 58.12, 0.12292685534353942
1653309830.169596, 2.09, -1.6, 56.4, 0.1217051248671434
1653309830.265807, 1.95, -1.68, 55.53, 0.117516334662357
1653309830.270724, 1.76, -1.73, 54.37, 0.1206579273159468
1653309830.311727, 1.56, -1.76, 53.15, 0.11995979561514906
1653309830.321731, 1.4, -1.76, 52.02, 0.11873806513875304
1653309830.330125, 1.37, -1.75, 51.81, 0.12153059194194396
1653309830.346794, 1.32, -1.72, 51.37, 0.11716726881195813
1653309830.355148, 1.29, -1.72, 51.17, 0.1159455383355621
1653309830.363584, 1.27, -1.74, 50.95, 0.11629460418596096
1653309830.371859, 1.21, -1.78, 50.76, 0.11629460418596096
1653309830.380306, 1.21, -1.74, 50.54, 0.11786540051275586
1653309830.396889, 1.15, -1.76, 50.14, 0.11926166391435133
1653309830.405167, 1.11, -1.74, 49.93, 0.117516334662357
1653309830.413592, 1.1, -1.75, 49.75, 0.1190871309891519
1653309830.470521, 1.05, -1.73, 49.56, 0.11995979561514906
1653309830.572792, 0.91, -1.73, 48.8, 0.11437474200876721
1653309830.580003, 0.75, -1.6, 48.46, 0.11699273588675871
1653309830.675196, 0.71, -1.5, 48.54, 0.11524740663476438
1653309830.680875, 0.61, -1.42, 48.73, 0.11664367003635985
1653309830.777632, 0.56, -1.32, 48.88, 0.11664367003635985
1653309830.782230, 0.55, -1.29, 48.94, 0.11629460418596096
1653309830.880299, 0.52, -1.19, 49.1, 0.11262941275677288
1653309830.948798, 0.55, -1.07, 49.67, 0.11420020908356777
1653309830.953297, 0.55, -1.06, 49.74, 0.11664367003635985
1653309830.963703, 0.6, -0.94, 50.3, 0.1217051248671434
1653309830.971862, 0.66, -0.89, 50.41, 0.1180399334379553
1653309830.980366, 0.67, -0.89, 50.46, 0.117516334662357
1653309830.997083, 0.68, -0.83, 50.54, 0.11716726881195813
1653309831.005243, 0.69, -0.85, 50.62, 0.12048339439074736
1653309831.013523, 0.69, -0.82, 50.69, 0.117516334662357
1653309831.021489, 0.72, -0.8, 50.75, 0.1196107297647502
1653309831.030305, 0.72, -0.8, 50.8, 0.1196107297647502
1653309831.046748, 0.77, -0.74, 50.9, 0.11873806513875304
1653309831.084826, 0.77, -0.78, 50.98, 0.12030886146554794
1653309831.187500, 0.88, -0.74, 51.16, 0.11769086758755644
1653309831.193037, 0.9, -0.74, 51.28, 0.1217051248671434
1653309831.289754, 1.11, -0.67, 51.44, 0.12048339439074736
1653309831.312060, 1.36, -0.73, 51.5, 0.1253703162963315
1653309831.321818, 1.43, -0.73, 51.52, 0.12554484922153092
1653309831.330063, 1.44, -0.72, 51.51, 0.12833737602472184
1653309831.346843, 1.5, -0.73, 51.52, 0.12571938214673034
1653309831.355280, 1.52, -0.75, 51.54, 0.12571938214673034
